File_name,Emotions
Group3-ns_3_97.800-106.700.wav,sad
Group3-ns_3_237.450-240.850.wav,disgust
Group3-ns_3_289.850-291.150.wav,fear
Group3-ns_3_445.400-453.200.wav,disgust
Group3-ns_3_692.350-693.700.wav,fear
Group3-ns_3_331.550-337.050.wav,disgust
Group3-ns_3_297.200-299.200.wav,neutral
Group3-ns_3_590.500-593.200.wav,disgust
Group3-ns_3_544.050-545.400.wav,sad
Group3-ns_3_193.650-194.950.wav,happy
Group3-ns_3_736.950-740.200.wav,disgust
Group3-ns_3_309.150-310.650.wav,neutral
Group3-ns_3_343.000-345.500.wav,sad
Group3-ns_3_241.500-244.100.wav,fear
Group3-ns_3_19.300-26.050.wav,disgust
Group3-ns_3_29.100-46.550.wav,neutral
Group3-ns_3_166.900-170.100.wav,disgust
Group2-ns_6_365.100-366.850.wav,sad
Group2-ns_6_450.800-451.900.wav,sad
Group2-ns_6_474.400-475.700.wav,sad
Group2-ns_6_324.300-326.400.wav,sad
Group2-ns_6_314.600-323.950.wav,disgust
Group2-ns_6_221.100-222.700.wav,neutral
Group2-ns_6_745.900-747.000.wav,sad
Group2-ns_6_724.500-725.650.wav,sad
Group2-ns_6_576.950-578.050.wav,sad
Group2-ns_6_176.650-183.200.wav,happy
Group2-ns_6_492.400-494.000.wav,neutral
Group2-ns_6_556.750-557.800.wav,fear
Group2-ns_6_90.250-95.550.wav,angry
Group2-ns_6_70.750-74.550.wav,neutral
Group2-ns_6_81.100-82.350.wav,sad
Group2-ns_6_485.400-486.750.wav,fear
Group2-ns_6_496.650-497.850.wav,sad
Group2-ns_6_308.850-313.950.wav,neutral
Group2-ns_6_13.850-15.000.wav,sad
Group2-ns_6_123.350-128.500.wav,disgust
Group2-ns_6_327.150-332.950.wav,happy
Group2-ns_6_814.750-821.300.wav,angry
Group2-ns_6_546.800-551.900.wav,neutral
Group2-ns_6_619.550-620.550.wav,sad
Group2-ns_6_43.700-44.800.wav,sad
Group2-ns_6_15.650-24.400.wav,happy
Group2-ns_6_775.100-787.150.wav,happy
Group2-ns_6_96.400-98.800.wav,sad
Group2-ns_6_558.700-561.950.wav,disgust
Group2-ns_6_183.700-192.050.wav,happy
Group2-ns_6_712.250-714.400.wav,fear
Group2-ns_6_615.950-618.450.wav,fear
Group2-ns_6_12.350-13.400.wav,sad
Group2-ns_6_770.500-774.950.wav,surprise
Group2-ns_6_714.600-718.050.wav,happy
Group2-ns_6_41.600-42.900.wav,happy
Group2-ns_6_374.300-380.150.wav,sad
Group2-ns_6_26.300-33.000.wav,disgust
Group2-ns_6_138.150-139.250.wav,sad
Group2-ns_6_360.600-361.800.wav,sad
Group2-ns_6_511.850-514.150.wav,neutral
Group2-ns_6_278.500-281.900.wav,angry
Group2-ns_6_726.700-729.900.wav,neutral
Group2-ns_6_2.750-5.250.wav,sad
Group2-ns_6_346.600-348.100.wav,sad
Group2-ns_6_562.450-570.250.wav,disgust
Group2-ns_6_645.750-648.400.wav,sad
Group2-ns_6_86.850-88.250.wav,sad
Group2-ns_6_642.900-645.100.wav,neutral
Group2-ns_6_649.200-650.800.wav,angry
Group2-ns_6_751.350-752.400.wav,sad
Group2-ns_6_720.950-724.350.wav,sad
Group2-ns_6_363.100-364.400.wav,fear
Group2-ns_6_825.400-826.450.wav,sad
Group2-ns_6_79.600-80.900.wav,fear
Group2-ns_6_416.100-417.850.wav,neutral
Group2-ns_6_482.750-484.000.wav,sad
Group2-ns_6_704.550-707.750.wav,sad
Group2-ns_6_224.050-225.200.wav,sad
Group2-ns_6_215.250-216.350.wav,sad
Group2-ns_6_370.650-371.800.wav,sad
Group2-ns_6_290.550-291.700.wav,fear
Group2-ns_6_571.250-576.000.wav,disgust
Group2-ns_6_730.350-731.900.wav,sad
Group2-ns_6_582.050-586.700.wav,sad
Group2-ns_6_393.900-400.700.wav,sad
Group2-ns_6_115.200-116.700.wav,fear
Group2-ns_6_216.500-220.500.wav,disgust
Group2-ns_6_229.900-233.150.wav,happy
Group2-ns_6_793.750-814.100.wav,neutral
Group2-ns_6_367.400-369.950.wav,sad
Group2-ns_6_442.500-443.500.wav,sad
Group2-ns_6_432.000-437.600.wav,sad
Group2-ns_6_148.700-160.150.wav,sad
Group2-ns_6_60.700-65.750.wav,angry
Group2-ns_6_498.250-500.250.wav,neutral
Group2-ns_6_409.850-412.700.wav,fear
Group2-ns_6_259.800-262.250.wav,sad
Group2-ns_6_626.600-628.950.wav,sad
Group2-ns_6_418.550-423.350.wav,sad
Group2-ns_6_104.750-115.050.wav,fear
Group2-ns_6_392.300-393.650.wav,fear
Group2-ns_6_682.600-685.400.wav,neutral
